sku;name;preparation;description;duration;biomaterial
1.2.D4;Клинический анализ крови (5 DIFF) с подсчетом лейкоцитарной формулы врачом КЛД (капиллярная кровь);Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;Клинический анализ крови с лейкоцитарной формулой включает подсчет всех клеток крови (эритроцитов, лейкоцитов, тромбоцитов), определение их параметров и дифференцировку лейкоцитов по 5 показателям (лейкоцитарная формула). Данный тест предполагает обязательное подтверждение результата, выданного анализатором, врачом КЛД (в мазке крови). При этом указывается количество палочкоядерных и сегментоядерных лейкоцитов, а также незрелых форм лейкоцитов. Это важно для пациентов с заболеваниями крови для диагностики и наблюдения в динамике. Использование капиллярной крови актуально для детей до 1 года и людей с труднодоступными венами. При этом риск образования сгустка выше, чем при взятии для исследования венозной крови.;1;капилярная кровь с ЭДТА
60.35.H2;Клинический анализ крови с лейкоцитарной формулой (5DIFF) и СОЭ, капиллярная кровь;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Клинический анализ крови с лейкоцитарной формулой (5DIFF) (капиллярная кровь); СОЭ (капиллярная кровь)
Комплексное исследование Клинический анализ крови с лейкоформулой и СОЭ позволяет провести первичный скрининг на выявление патологического процесса в организме. Скорость оседания эритроцитов (СОЭ) - неспецифический показатель воспаления, не является показателем, специфическим для какого-либо заболевания, повышение СОЭ указывает на наличие патологического процесса и требует подтверждения с помощью С-реактивного белка. Общий анализ крови с лейкоцитарной формулой назначается в качестве первичного скрининга при любом заболевании, при профилактическом осмотре и при направлении на госпитализацию.";1;Кровь с ЭДТА
1.2.D3;Ретикулоциты (капиллярная кровь);Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;Ретикулоциты - молодые формы эритроцитов, содержащие зернисто-нитчатую субстанцию. Количество ретикулоцитов отражает активность эритропоэза. Исследуется для диагностики неэффективного гемопоэза при анемии, для оценки реакции на терапию препаратами железа, фолиевой кислоты, витамина В12, эритропоэтином и для мониторинга эффективности при трансплантации костного мозга. ;1;капилярная кровь с ЭДТА
2.0.D3.202;Группа крови + Резус-фактор;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;Определяются при необходимости переливания крови, при планировании хирургических вмешательств и во время беременности. Группа крови - сочетание поверхностных антигенов эритроцитов системы АВО, не изменяющееся в течение жизни в естественных условиях. Проводят путем идентификации специфических антигенов и антител (двойной метод- перекрестная реакция). Трудности при определении группы крови возможны у маленьких детей (до 10 мес), после переливания крови и ее компонентов, иммуносуппрессивной терапии, лимфо и миелопролиферативных заболеваниях. Резус-фактор - поверхностный белковый эритроцитарный антиген D, не изменяющийся в течение жизни, при естественных условиях. Он появляется на ранних стадиях внутриутробного развития и может быть причиной развития гемолитической болезни плода при беременности у резус-отрицательных матерей (если мать резус-положительна, риска развития гемолитической болезни плода нет). ;1;кровь с EDTA
2.0.A4.202;Антитела к антигенам эритроцитов, суммарные (в т.ч. к Rh-фактору, кроме АТ по системе AB0) с определением титра;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Антитела к антигенам эритроцитов аллоиммунные (к резус-фактору и другим эритроцитарным антигенам) появляются в крови при особых условиях — после переливания несовместимой донорской крови или при беременности резус-отрицательной матери резус-положительным плодом. При обнаружении аллоиммунных антиэритроцитарных антител проводится их полуколичественное определение. Результат выдается в титрах (максимальное разведение сыворотки, при котором еще обнаруживается положительный результат). Резус-отрицательные беременные женщины сдают анализ на антитела с 8 по 30 неделю беременности 1 раз в месяц, с 30 по 36 неделю - 2 раза в месяц, далее с 36 недели - 1 раз в неделю. Тест также необходим при предоперационной подготовке тем пациентам, кому ранее проводились переливания крови или ее компонентов.
Положительный результат говорит о наличии сенсибилизации к резус-фактору или другим эритроцитарным антигенам.
Используется гелевая технология (методы агглютинации и гель-фильтрации, ID- карты Bio-Rad).
Определяются антитела к следующим группам антигенов эритроцитов: СССᵂD.ee, ccD.EE, ccddee";1;кровь с EDTA
2.0.D1.201;Антитела по системе AB0;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Антигрупповые антитела могут образовываться при переливании иногруппной крови и повторных беременностях у женщин с О (I) группой крови, реже с другими группами крови (за исключением IV). Наличие антигрупповых антител может приводить к гемолитической болезни новорожденных, менее выраженной, чем при резус-конфликте. Тест также необходим при предоперационной подготовке тем пациентам, кому ранее проводились переливания крови или ее компонентов.
Обнаружение антител по системе АВО свидетельствует о наличии сенсибилизации к антигенам.";13;сыворотка
2.0.A5.202;Определение Kell антигена (K);Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Определение Keлл-антигена эритроцитов используется совместно с определением группы крови и резус-фактора. Келл-антиген - один из минорных антигенов эритроцитов, занимающий второе место после резуса в шкале трансфузионноопасных антигенов. Определение Келл-антигена обязательно у пациентов, которым предполагается переливание эритроцитосодержащих сред.
Наличие Келл-антигена свидетельствует о необходимости индивидуального подбора донорской крови.";1;кровь с EDTA
2.0.D2.202;Определение наличия антигенов эритроцитов C, c, E, e, CW, K и k;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;"Показания: Предоперационное обследование. Обследование доноров и реципиентов.
В эритроцитах человека имеется 5 основных антигенов системы резус (D, C, c, E, e), из которых наиболее иммуногенным является антиген D – Rh(D). Наличие или отсутствие этого антигена определяет резус-принадлежность крови. Иммуногенность других (минорных) антигенов системы Rh значительно ниже и убывает в ряду: с>Е>С>е. Определение минорных антигенов производится при необходимости многократных трансфузий, в тех случаях, когда в сыворотке реципиента обнаружены иммунные антитела к антигенам системы резус, в том числе при индивидуальном подборе крови.
Наличие минорных антигенов свидетельствует о необходимости индивидуального подбора донорской крови.";2;кровь с EDTA
2.0.A8;Прямая проба Кумбса;Можно сдавать кровь в течение дня, не ранее, чем через 3 часа после приема пищи или утром натощак. Чистую воду можно пить в обычном режиме.;Используется в дифференциальной диагностике гемолитических анемий, в том числе лекарственной иммунной гемолитической анемии, при резус кофликте, гемолитической болезни новорожденных.;7;кровь с EDTA
3.0.A1.203;Фибриноген;Рекомендовано сдавать кровь в первой половине дня, натощак. Чистую воду можно пить в обычном режиме.;"Превращение фибриногена в фибрин под действием тромбина является заключительным этапом образования сгустка. Рост концентрации фибриногена в плазме, даже в пределах референсных значений, коррелирует с увеличением риска осложнений сердечно-сосудистых заболеваний. При беременности происходит физиологическое увеличение фибриногена (в 3 триместре беременности до 6 г/л). 
Показания к назначению: выявление риска развития сердечно-сосудистых заболеваний (для лиц старше 45-50 лет), предоперационное обследование, беременность, сердечно-сосудистая патология. ";1;кровь с цитратом
3.0.D1.203;Протромбин (время, по Квику, МНО);Рекомендовано сдавать кровь в первой половине дня, натощак. Чистую воду можно пить в обычном режиме.;"Тест Протромбиновое время (в сек) нестандартизован, нельзя сравнивать результаты из разных лабораторий. На основе ПВ выполняются модификации метода по Квику - % и МНО. 
МНО применяется для мониторинга терапии варфарином. Значение для большинства пациентов, находящихся на терапии варфарином: 2,5-3. 
Протромбин по Квику, % - оценка факторов внешнего пути свертывания крови. Снижение: наследственный или приобретенный дефицит I, II, V, VII и X факторов, идиопатическая семейная гипопротромбинемия, приобретенная и наследственная гипофибриногенемия, дефицит витамина К в диете (II, VII, X факторы образуются в гепатоцитах в присутствии витамина К), прием препаратов - антагонистов витамина К (антикоагулянты - фенилин и др., кумарины и усиливающие их действие анаболические стероиды). Повышение диагностического значения не имеет. ";1;кровь с цитратом
3.0.A2.203;Тромбиновое время;Рекомендовано сдавать кровь в первой половине дня, натощак. Чистую воду можно пить в обычном режиме.;Тромбиновое время характеризует конечный этап процесса свертывания – превращения фибриногена в фибрин под действием тромбина, показатель полимеризации фибрина, используется для диагностики гипокоагуляции, мониторинга гепаринотерапии. Удлинение тромбинового времени может быть вызвано качественными изменениями молекулы фибриногена (дисфибриногенемия) или снижением его уровня, избытком в крови гепарина в результате гепаринотерапии, накоплением продуктов деградации фибрина, парапротеинемией, наследственной и приобретенной дисфибриногенемией. Прием прямых ингибиторов тромбина (прадакса) удлиняет тромбиновое время.;1;кровь с цитратом
3.0.A3.203;АЧТВ;Рекомендовано сдавать кровь в первой половине дня, натощак. Чистую воду можно пить в обычном режиме.;"Используется для оценки внутреннего пути свертывания крови (если уровень хотя бы одного из факторов свертывания снижен на 30-40 % от нормы, то меняется и уровень АЧТВ), а также мониторинга гепаринотерапии (нефракционированный гепарин). Прием прямых ингибиторов тромбина (прадакса) удлиняет АЧТВ. Увеличение продолжительности (замедление АЧТВ): гемофилии А, В, С; болезнь Хагемана, Виллебранда; II и III фазы ДВС-синдрома; терапия гепарином; антифосфолипидный синдром; печеночная недостаточность; геморрагические лихорадки.";1;кровь с цитратом
3.0.A4.203;Антитромбин III;Рекомендовано сдавать кровь в первой половине дня, натощак. Чистую воду можно пить в обычном режиме.;"Естественный антикоагулянт. Антитромбин III связывает все активированные факторы свертывания, относящиеся к сериновым протеазам, за исключением фактора VII. Его активность увеличивается гепарином. Проявления дефицита: тромбозы глубоких вен нижних конечностей, илеофеморальные тромбозы, привычное невынашивание беременности, антенатальная гибель плода.
Уменьшение активности АТ на 25-30% сопровождается развитием гепаринорезистентности, что может вызвать появление рикошетных тромбозов при лечении гепарином.";1;кровь с цитратом
3.0.A5.203;Волчаночный антикоагулянт;Рекомендовано сдавать кровь в первой половине дня, натощак. Чистую воду можно пить в обычном режиме.;Волчаночный антикоагулянт (ВА) - гетерогенная группа антител против отрицательно заряженных фосфолипидов Используется в диагностике антифосфолипидного синдрома (АФС). 25% женщин с рецидивирующим синдромом потери плода имеют АФС, и более чем у половины из них дебют заболевания начинается с потери беременности. Для постановки диагноза АФС необходим один клинический (тромбоз, потеря плода и т.п.) и один лабораторный признак (наличие ВА, АТ к кардиолипину, АТ к бета 2 -гликопротеину-1, выявляемые минимум дважды с интервалом в 12 недель).;1;кровь с цитратом
3.0.A6.203;Д-димер;Рекомендовано сдавать кровь в первой половине дня, натощак. Чистую воду можно пить в обычном режиме.;Д-димер является результатом фибринолиза тромба (нерастворимого фибрина). Тест имеет отрицательную диагностическую значимость. Повышенный уровень D-димера обнаруживается при состояниях, связанных с активацией коагуляции (ДВС-синдром, тромбоз глубоких вен, легочная тромбоэмболия, массивные повреждения тканей или хирургические операции, сердечная недостаточность, инфекции, воспаления, неопластические состояния), инфекционно-воспалительных процессах, процессах заживления ран, онкологической патологии, курении. ;1;кровь с цитратом
3.0.A7.203;Протеин С;Рекомендовано сдавать кровь в первой половине дня, натощак. Чистую воду можно пить в обычном режиме.;"Естественный антикоагулянт. Активированный протеин C является одним из главных физиологических антикоагулянтов, расщепляющих активированные факторы свертывания V и VIII. 
Дефицит протеина С — частая причина развития тромбофилических состояний, в т.ч. у лиц молодого возраста (до 50 лет) людей, беременных женщин, в послеоперационном периоде. Снижение концентрации может быть вызвано приемом лекарственных средств (непрямые антикоагулянты, пероральные контрацептивы).";2;кровь с цитратом
3.0.A8.203;Протеин S;Рекомендовано сдавать кровь в первой половине дня, натощак. Чистую воду можно пить в обычном режиме.;Усиливает антикоагулянтное и профибринолитическое действие протеина C. Синтезируется в печени. Содержание протеина S зависит от пола, гормонального фона, меняется с возрастом. Дефицит свободного протеина S может быть врождённым или приобретённым. Врождённый обычно проявляется в период новорождённости в виде фульминантной пурпуры. Приобретённый дефицит возникает во время беременности, на фоне приёма оральных антикоагулянтов, при использовании оральных контрацептивов, у пациентов с патологией печени, у новорождённых, и при других клинических условиях. ;1;кровь с цитратом
